modul,price,score
  15.6    IdeaPad 3 15ITL6-i5 8GB 1SSD MX350 -  ,26600000,
  15.6    IdeaPad 3 15ITL6-AD,26590000,4
  15.6    ThinkBook 15-GF,26500000,3.1
  15.6    ThinkBook 15 G2 ITL-i5 8GB 256SSD MX450,26500000,3.5
  15.6    IdeaPad 3 15ITL6-i5 20GB 256SSD MX350 -  ,26500000,
  15.6    ThinkBook 15-G,26050000,4.3
  15.6    IdeaPad 3 15ITL6-i5 16GB 256SSD MX350 -  ,26000000,
  15.6    ThinkBook 15 G2 ITL-i5 8GB 512SSD MX450 -  ,25750000,
  15.6    IdeaPad 3 15ALC6-R7 8GB 512SSD Radeon -  ,25710000,
  15.6    IdeaPad 3 15ALC6-R7 8GB 256SSD 1HDD Radeon -  ,25700000,4.5
  15    IdeaPad 5-I5 8GB 1TB128GB MX450,25650000,4.5
  15.6    IdeaPad 3 15IAU7-i7 8GB 512SSD Iris Xe,25600000,4.3
  15.6    IdeaPad 3 15ITL6-i5 8GB 128SSD MX350 -  ,25600000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 1HDD 1SSD MX350 -  ,25500000,4
  15.6    IdeaPad 3 15ITL6-i5 12GB 512SSD MX350 -  ,25490000,
  15.6    IdeaPad 3 15ALC6-R7 8GB 128SSD 1HDD Radeon -  ,25460000,
  15.6    IdeaPad 3 - 15ITL6,25400000,4.2
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD 512SSD MX350 -  ,25400000,
  15.6    IdeaPad 3 15ITL6-i7 8GB 512SSD MX450,25400000,4.5
  15.6    IdeaPad 3 15ALC6-R7 8GB 256SSD Radeon -  ,25210000,
  15.6    IdeaPad 3 15ITL6-i5 8GB 256SSD MX350 -  ,25200000,
  15.6    IdeaPad 3 15ALC6-R7 12GB 512SSD 1HDD Radeon -  ,25100000,5
  15.6    ThinkBook 15 G2 ITL-i5 8GB 256SSD MX450 -  ,25050000,
  15.6    IdeaPad 3 - JE,25000000,2.2
  15.6    IdeaPad 3 - JD,24900000,3.7
  15.6    IdeaPad 3 15ITL6-i5 20GB 512SSD MX350 -  ,24760000,
  15.6    IdeaPad 3 15ALC6-R7 12GB 256SSD 1HDD Radeon -  ,24750000,5
  15.6    V15 G2 ITL-i5 12GB 512SSD MX350 -  ,24740000,
  15.6    IdeaPad 3 15ITL6-i5 12GB 128SSD 1HDD MX350 -  ,24700000,
  15.6    IdeaPad 3 15ITL6 i5 12GB 1SSD MX350 -  ,24540000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 1HDD 256SSD MX350 -  ,24480000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 1HDD 512SSD MX350 -  ,24400000,4
  15    Ideapad L340 - C,24200000,3.8
  15.6    V15 G2 ITL-i5 8GB 512SSD MX350 -  ,24200000,
  15.6    IdeaPad 3 15ITL6-i5 20GB 1T SSD MX350  ,24070000,
  15.6    IdeaPad 3 15ITL6-i5 8GB 256SSD 1HDD MX350 -  ,24050000,
  15.6    IdeaPad 3 - JA,23990000,4
  15.6    IdeaPad 3 15ITL6-i5 8GB 512SSD MX350,23878320,
  15.6    IdeaPad 3 15ITL6-i5 8GB 128SSD 1HDD MX350 -  ,23870000,
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD MX350 -  ,24000000,4.3
  15.6    IdeaPad 3 15ITL6,23650000,3.8
  15.6    IdeaPad 3 15ITL6-i5 8GB 256SSD MX350 -  ,23300000,
  15.6    IdeaPad 3 - JC,23200000,4.4
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD 512SSD MX350 -  ,23200000,4.5
  15.6    IdeaPad 5 15ITL05-i5 8GB 512SSD MX450,23100000,3.9
  15.6    IdeaPad 5 15ITL05-i5 8GB 512SSD MX450,23100000,4.2
  15.6    IdeaPad 3 15ALC6-R7 8GB 1HDD Radeon,23050000,
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD MX350 -  ,23000000,
  15.6    IdeaPad 3 15ITL6-i5 16GB 512GB MX350 -  ,22999000,
  15.6    ThinkBook 15-i3 12G 256G 1T -  ,22990000,
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD 256SSD MX350 -  ,22890000,3.7
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD MX350 -  ,22890000,
  15.6    V15 G2 ITL-i5 16GB 512SSD MX350 -  ,22650000,3.5
  15.6    IdeaPad 3 15IAU7-i5 16GB 512SSD -  ,22650000,
  15.6    IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 -  ,22620000,3.7
  15.6    IdeaPad 3 15ITL6-i5 12GB 1HDD 128SSD MX350 -  ,22550000,5
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD MX350,22395000,
  15.6    V15 G2 ITL-i5 12GB 512SSD MX350 -  ,22390000,4
  15.6    V15 G3 ABA R5 16GB 512SSD R VEGA 7 -  ,22309030,3
  15.6    IdeaPad 3 15ITL6-i5 8GB 512GB 1T 2GB -  ,22100000,3.7
  15.6    V15 G2 ITL-i5 8GB 256SSD MX350,22100000,
  15.6    IdeaPad 3 15IAU7-i5 8GB 256SSD -  ,22099000,
  15    Ideapad L3 - B,22050000,3.9
